GAME_DATE,MATCHUP,MIN,PTS,REB,AST,with_other_player
2025-04-13,MIN vs. UTA,25,8,2,0,True
2025-04-11,MIN vs. BKN,28,11,3,2,True
2025-04-10,MIN @ MEM,30,10,5,1,True
2025-04-08,MIN @ MIL,30,13,5,3,True
2025-04-05,MIN @ PHI,26,2,3,1,True
2025-04-03,MIN @ BKN,33,8,4,2,True
2025-04-01,MIN @ DEN,44,12,6,0,True
2025-03-30,MIN vs. DET,30,2,9,3,True
2025-03-28,MIN vs. PHX,31,16,3,1,True
2025-03-24,MIN @ IND,22,6,1,1,True
2025-03-21,MIN vs. NOP,21,17,5,0,True
2025-03-19,MIN vs. NOP,24,5,0,4,True
2025-03-17,MIN vs. IND,33,13,7,4,True
2025-03-16,MIN vs. UTA,27,20,12,2,True
2025-03-14,MIN vs. ORL,32,11,8,2,True
2025-03-12,MIN @ DEN,32,16,8,1,True
2025-03-09,MIN vs. SAS,30,16,4,7,True
2025-03-07,MIN @ MIA,35,13,6,4,True
2025-03-05,MIN @ CHA,38,29,10,4,True
2025-03-04,MIN vs. PHI,37,17,3,2,True
2025-03-02,MIN @ PHX,33,13,7,4,True
2025-02-28,MIN @ UTA,35,20,10,5,False
2025-02-27,MIN @ LAL,37,15,8,1,True
2025-02-24,MIN @ OKC,42,27,10,4,True
2025-02-23,MIN vs. OKC,40,17,13,1,True
2025-02-21,MIN @ HOU,42,21,6,3,True
2025-02-13,MIN vs. OKC,37,21,6,5,True
2025-02-12,MIN vs. MIL,39,10,8,2,True
2025-02-10,MIN @ CLE,32,10,3,1,True
2025-02-08,MIN vs. POR,37,30,10,4,False
2025-02-06,MIN vs. HOU,31,12,8,4,True
2025-02-05,MIN vs. CHI,37,12,8,2,True
2025-02-03,MIN vs. SAC,36,22,7,2,True
2025-02-01,MIN vs. WAS,40,23,12,4,False
2025-01-30,MIN @ UTA,31,4,4,1,True
2025-01-29,MIN @ PHX,37,14,6,3,True
2025-01-27,MIN vs. ATL,33,10,8,2,True
2025-01-25,MIN vs. DEN,32,13,8,4,True
2025-01-22,MIN @ DAL,40,27,8,0,True
2025-01-20,MIN @ MEM,42,11,12,1,True
2025-01-18,MIN vs. CLE,38,13,5,2,True
2025-01-17,MIN @ NYK,34,10,8,2,True
2025-01-15,MIN vs. GSW,36,14,4,4,True
2025-01-13,MIN @ WAS,30,8,8,0,True
2025-01-11,MIN vs. MEM,30,21,6,1,True
2025-01-09,MIN @ ORL,32,7,8,1,True
2025-01-07,MIN @ NOP,31,5,3,0,True
2025-01-06,MIN vs. LAC,33,11,2,2,True
2025-01-04,MIN @ DET,29,8,5,0,True
2025-01-02,MIN vs. BOS,35,19,8,2,True
2024-12-31,MIN @ OKC,28,7,6,0,True
2024-12-29,MIN vs. SAS,32,12,10,1,True
2024-12-27,MIN @ HOU,20,2,5,1,True
2024-12-25,MIN @ DAL,35,5,6,2,True
2024-12-23,MIN @ ATL,20,6,2,0,True
2024-12-21,MIN vs. GSW,35,10,7,2,True
2024-12-19,MIN vs. NYK,24,8,6,3,True
2024-12-15,MIN @ SAS,28,12,11,1,True
2024-12-13,MIN vs. LAL,37,18,9,0,True
2024-12-08,MIN @ GSW,36,9,4,3,True
2024-12-06,MIN @ GSW,30,10,3,2,True
2024-12-04,MIN @ LAC,24,11,5,0,True
2024-12-02,MIN vs. LAL,23,3,2,0,True
2024-11-29,MIN vs. LAC,25,11,3,5,True
2024-11-27,MIN vs. SAC,24,0,2,2,True
2024-11-26,MIN vs. HOU,40,9,5,2,True
2024-11-24,MIN @ BOS,32,10,5,1,True
2024-11-21,MIN @ TOR,42,22,7,3,True
2024-11-17,MIN vs. PHX,26,11,3,2,True
2024-11-15,MIN @ SAC,37,14,6,3,True
2024-11-13,MIN @ POR,34,7,6,2,True
2024-11-12,MIN @ POR,36,17,6,2,True
2024-11-10,MIN vs. MIA,33,9,6,1,True
2024-11-08,MIN vs. POR,27,5,3,2,True
2024-11-07,MIN @ CHI,33,19,2,0,True
2024-11-04,MIN vs. CHA,22,9,3,0,True
2024-11-02,MIN @ SAS,30,7,3,1,True
2024-11-01,MIN vs. DEN,26,10,0,1,True
2024-10-29,MIN vs. DAL,35,13,4,4,True
2024-10-26,MIN vs. TOR,33,9,3,2,True
2024-10-24,MIN @ SAC,27,6,2,3,True
2024-10-22,MIN @ LAL,16,6,2,1,True
