GAME_DATE,MIN,PTS,REB,AST
2025-04-13,33,16,9,0
2025-04-11,30,18,6,1
2025-04-09,32,17,9,0
2025-04-07,35,16,11,1
2025-04-05,24,4,10,2
2025-04-03,35,28,6,0
2025-04-01,32,9,8,2
2025-03-30,27,14,8,0
2025-03-29,30,16,10,1
2025-03-26,23,6,6,3
2025-03-24,19,6,7,1
2025-03-14,34,16,9,0
2025-03-12,23,13,9,1
2025-03-10,24,12,2,1
2025-03-09,32,14,15,1
2025-03-06,13,6,2,1
2025-03-04,8,1,1,1
2025-03-03,7,6,2,0
2025-02-26,17,5,5,0
2025-02-24,17,4,6,0
2025-02-20,1,0,0,0
2025-02-12,17,2,2,0
2025-02-07,11,2,1,0
2025-02-05,18,11,5,0
2025-02-04,8,2,1,1
2025-02-02,12,2,5,0
2025-01-31,12,2,1,0
2025-01-29,19,5,7,1
2025-01-28,20,4,6,1
2025-01-25,19,4,7,1
2025-01-24,10,4,2,0
2025-01-21,16,3,3,1
2025-01-19,24,10,6,0
2025-01-18,19,12,6,1
2025-01-15,15,2,6,0
2025-01-14,17,7,3,0
2025-01-12,15,0,0,0
2025-01-10,14,0,2,0
2025-01-08,14,2,3,2
2025-01-06,11,4,5,0
2025-01-04,7,6,3,1
2025-01-02,9,0,3,0
2024-12-30,4,2,0,1
2024-12-21,12,3,3,1
2024-12-04,14,0,3,0
2024-12-03,14,6,1,0
2024-11-30,20,4,5,0
2024-11-24,9,0,2,0
2024-11-18,1,0,0,0
2024-11-15,1,0,1,0
2024-11-13,17,4,9,0
2024-11-12,1,0,0,0
2024-11-08,2,3,1,0
2024-11-06,4,0,0,0
2024-11-02,1,2,1,0
2024-10-30,3,0,0,0
2024-10-25,1,0,0,0
2024-10-23,3,2,1,0
